Date,Open,High,Low,Close,Volume
6-Mar-03,19.80,19.82,19.20,19.22,3842800
5-Mar-03,20.00,20.09,19.79,20.01,2163500
4-Mar-03,20.23,20.29,19.90,19.99,3618500
3-Mar-03,20.50,20.57,20.12,20.44,2585900
28-Feb-03,20.45,20.70,20.35,20.50,2226300
27-Feb-03,20.32,20.47,20.05,20.47,2801400
26-Feb-03,20.30,20.86,20.21,20.28,4595900
25-Feb-03,19.96,20.35,19.60,20.34,3326900
24-Feb-03,20.55,20.69,19.93,19.95,2898700
21-Feb-03,20.25,20.86,20.00,20.77,3557400
20-Feb-03,20.53,20.85,20.05,20.25,2986300
19-Feb-03,20.80,20.90,20.39,20.53,2447800
18-Feb-03,20.10,21.04,20.10,20.95,4203800
14-Feb-03,19.79,20.15,19.50,20.05,2160300
13-Feb-03,19.67,19.94,19.57,19.79,2303800
12-Feb-03,19.81,20.10,19.67,19.77,2953300
11-Feb-03,20.00,20.25,19.62,19.81,2924700
10-Feb-03,19.77,19.99,19.38,19.80,3378500
7-Feb-03,19.78,19.91,19.53,19.59,4379400
6-Feb-03,19.84,20.00,19.27,19.46,3967200
5-Feb-03,19.90,20.11,19.75,19.84,5588900
4-Feb-03,19.44,19.50,19.02,19.17,4364200
3-Feb-03,19.75,19.84,19.63,19.80,3145100
31-Jan-03,19.62,20.02,19.40,19.62,4882900
30-Jan-03,20.01,20.19,19.65,19.72,3376900
29-Jan-03,20.11,20.23,19.65,20.18,4213300
28-Jan-03,20.09,20.34,19.60,20.10,3181300
27-Jan-03,20.19,20.54,19.90,19.99,3686800
24-Jan-03,21.53,21.53,20.38,20.55,3507500
23-Jan-03,20.82,21.62,20.82,21.53,2983800
22-Jan-03,20.88,21.13,20.54,20.64,3392700
21-Jan-03,21.53,21.59,20.86,20.98,4829000
17-Jan-03,21.53,22.14,21.53,21.98,2807900
16-Jan-03,22.04,22.45,21.87,21.95,4456900
15-Jan-03,23.07,23.07,21.68,22.03,6116200
14-Jan-03,22.44,22.98,22.32,22.98,2978500
13-Jan-03,22.57,22.76,22.19,22.69,2870300
10-Jan-03,22.13,22.69,22.07,22.62,4902500
9-Jan-03,21.78,22.37,21.68,22.33,9690300
8-Jan-03,21.93,22.71,21.42,21.68,17019200
7-Jan-03,24.21,24.56,23.97,24.19,4569800
6-Jan-03,23.76,24.26,23.76,24.19,3123800
3-Jan-03,23.37,23.66,23.07,23.62,2848500
2-Jan-03,22.85,23.45,22.82,23.37,3739500
31-Dec-02,22.67,22.79,22.23,22.60,2116200
30-Dec-02,22.62,22.65,22.33,22.56,2551200
27-Dec-02,22.68,22.77,22.33,22.36,1895700
26-Dec-02,23.01,23.29,22.73,22.88,1941700
24-Dec-02,22.89,23.28,22.83,22.86,1366600
23-Dec-02,23.37,23.56,22.85,23.24,2931700
20-Dec-02,23.24,23.76,22.94,23.66,4803000
19-Dec-02,22.75,23.30,22.72,22.82,2966200
18-Dec-02,23.61,23.76,22.97,23.00,2960900
17-Dec-02,23.81,24.43,23.65,23.71,3132700
16-Dec-02,22.97,24.00,22.72,23.96,3895000
13-Dec-02,22.82,23.07,22.57,22.85,3578600
12-Dec-02,22.67,23.18,22.63,23.07,3107300
11-Dec-02,22.47,22.72,22.28,22.51,4344400
10-Dec-02,22.88,23.04,22.43,22.83,4212100
9-Dec-02,23.54,23.74,22.84,22.84,2435000
6-Dec-02,23.75,24.06,23.20,23.73,2898100
5-Dec-02,24.27,24.28,23.49,23.74,2692200
4-Dec-02,24.31,24.33,23.73,24.13,3895900
3-Dec-02,25.10,25.11,24.29,24.58,3171500
2-Dec-02,26.05,26.17,24.94,25.38,4403300
29-Nov-02,24.95,25.47,24.86,25.35,2141600
27-Nov-02,24.61,25.28,24.44,25.27,4932800
26-Nov-02,24.01,24.32,23.63,24.31,3413100
25-Nov-02,24.46,24.80,24.09,24.36,3083300
22-Nov-02,24.53,24.97,24.20,24.31,4341100
21-Nov-02,22.76,24.66,22.56,24.52,5799800
20-Nov-02,22.23,22.62,22.11,22.56,2893700
19-Nov-02,22.58,22.78,22.09,22.36,2625900
18-Nov-02,22.79,22.99,22.43,22.58,2098800
15-Nov-02,23.11,23.12,22.34,22.75,4089000
14-Nov-02,22.64,23.14,22.36,23.10,1869100
13-Nov-02,22.75,22.75,21.69,22.18,4665400
12-Nov-02,22.28,23.14,22.24,22.75,3856800
11-Nov-02,22.82,22.83,22.01,22.23,2451100
8-Nov-02,23.23,23.78,22.82,23.07,3291500
7-Nov-02,23.57,23.57,23.07,23.29,3062200
6-Nov-02,23.03,23.80,22.73,23.66,3321800
5-Nov-02,23.07,23.44,22.60,23.03,2974500
4-Nov-02,22.73,23.64,22.73,23.19,4348500
1-Nov-02,21.64,23.17,21.60,22.72,3685700
31-Oct-02,22.48,22.58,21.69,21.75,3061300
30-Oct-02,22.08,22.62,21.98,22.48,2956700
29-Oct-02,22.32,22.38,21.72,22.05,4074400
28-Oct-02,23.27,23.36,22.39,22.44,2183300
25-Oct-02,22.32,22.97,21.69,22.94,3176300
