Date,Open,High,Low,Close,Volume
6-Mar-03,12.11,12.25,12.00,12.05,23601400
5-Mar-03,12.38,12.39,12.04,12.24,26555100
4-Mar-03,12.60,12.66,12.21,12.25,34579000
3-Mar-03,13.08,13.24,12.54,12.64,27053500
28-Feb-03,12.60,13.01,12.50,12.98,21524200
27-Feb-03,12.50,12.75,12.31,12.58,24747700
26-Feb-03,12.54,12.86,12.30,12.32,26343300
25-Feb-03,12.53,12.76,12.28,12.65,28613800
24-Feb-03,12.73,13.03,12.60,12.82,27336200
21-Feb-03,12.93,12.93,12.42,12.80,32937600
20-Feb-03,12.50,12.89,12.36,12.78,27948700
19-Feb-03,12.53,13.14,12.21,12.41,26717600
18-Feb-03,12.60,12.80,12.50,12.74,28719900
14-Feb-03,11.79,12.42,11.78,12.40,32737300
13-Feb-03,11.81,11.84,11.49,11.81,30948700
12-Feb-03,11.61,12.11,11.58,11.81,46302500
11-Feb-03,12.15,12.17,11.74,11.94,36012300
10-Feb-03,11.85,12.24,11.55,12.05,28078400
7-Feb-03,12.22,12.27,11.73,11.81,28002400
6-Feb-03,11.83,12.23,11.83,12.00,26724700
5-Feb-03,12.41,12.70,11.99,12.02,40014900
4-Feb-03,11.80,12.21,11.78,12.18,33460000
3-Feb-03,11.98,12.32,11.81,12.02,27950900
31-Jan-03,12.98,12.98,11.25,11.97,70229200
30-Jan-03,13.69,13.70,12.91,12.95,29359100
29-Jan-03,13.48,13.76,13.11,13.60,43916700
28-Jan-03,13.39,13.52,13.01,13.24,28980500
27-Jan-03,12.95,13.49,12.65,13.28,26006200
24-Jan-03,13.77,13.79,13.19,13.27,37527200
23-Jan-03,14.38,14.60,13.91,14.06,40002000
22-Jan-03,13.74,14.15,13.56,13.78,39665000
21-Jan-03,13.95,13.95,13.46,13.52,33076400
17-Jan-03,13.94,14.04,13.45,13.53,40062500
16-Jan-03,14.81,14.82,14.26,14.34,31909400
15-Jan-03,14.97,15.05,14.25,14.45,58838000
14-Jan-03,15.51,15.95,15.11,15.36,38327700
13-Jan-03,15.98,16.30,15.33,15.40,39487600
10-Jan-03,15.18,15.81,14.82,15.70,38301900
9-Jan-03,15.14,15.64,14.90,15.04,39248800
8-Jan-03,15.05,15.22,14.59,14.63,28357100
7-Jan-03,15.45,15.76,15.10,15.30,36872700
6-Jan-03,14.93,15.55,14.91,15.41,35878200
3-Jan-03,13.96,14.58,13.82,14.53,30318200
2-Jan-03,13.45,14.00,13.06,13.98,25101200
31-Dec-02,13.19,13.47,12.96,13.03,20286900
30-Dec-02,13.51,13.75,13.21,13.29,16792800
27-Dec-02,13.72,13.90,13.44,13.52,13259300
26-Dec-02,14.00,14.29,13.74,13.81,18023300
24-Dec-02,13.80,14.14,13.75,13.87,10237300
23-Dec-02,13.30,14.00,13.20,13.94,20714300
20-Dec-02,13.70,13.91,13.22,13.31,30064900
19-Dec-02,13.23,13.66,12.97,13.53,33477000
18-Dec-02,13.52,13.55,13.15,13.26,28477900
17-Dec-02,14.41,14.68,13.78,13.86,34415800
16-Dec-02,13.73,14.55,13.50,14.46,32705400
13-Dec-02,14.18,14.18,13.53,13.56,29489800
12-Dec-02,14.73,14.82,14.16,14.36,26468900
11-Dec-02,14.49,14.91,14.21,14.57,31262800
10-Dec-02,13.96,14.88,13.88,14.77,35896000
9-Dec-02,14.65,14.89,13.69,13.70,33066500
6-Dec-02,14.71,15.10,14.46,14.89,29183100
5-Dec-02,15.56,15.60,14.62,14.89,28289900
4-Dec-02,15.11,15.52,14.93,15.11,41122100
3-Dec-02,16.61,16.63,15.91,15.97,21760700
2-Dec-02,17.68,17.91,16.70,16.79,30278200
29-Nov-02,17.62,17.77,17.03,17.05,12419700
27-Nov-02,16.98,17.71,16.86,17.49,27963700
26-Nov-02,16.95,17.00,16.46,16.56,25403200
25-Nov-02,16.87,17.25,16.75,17.03,35583100
22-Nov-02,16.48,17.05,16.41,16.85,33768600
21-Nov-02,16.39,17.28,16.10,17.00,49906300
20-Nov-02,15.26,16.10,15.15,15.86,38011600
19-Nov-02,15.27,15.58,14.90,15.07,27799800
18-Nov-02,16.26,16.26,15.23,15.33,28631600
15-Nov-02,15.46,15.95,15.05,15.83,32150500
14-Nov-02,14.98,15.79,14.61,15.76,56155800
13-Nov-02,14.90,15.19,14.26,14.70,61030900
12-Nov-02,14.74,15.54,14.51,15.07,28663700
11-Nov-02,15.67,15.69,14.53,14.57,27234600
8-Nov-02,15.88,16.19,15.10,15.72,33097600
7-Nov-02,16.22,16.45,15.59,15.71,32896600
6-Nov-02,15.92,16.87,15.89,16.85,36410700
5-Nov-02,15.89,16.37,15.46,15.81,43155200
4-Nov-02,16.31,17.10,16.00,16.45,45582100
1-Nov-02,14.90,15.95,14.77,15.72,38627100
31-Oct-02,15.42,15.79,14.70,15.03,40681100
30-Oct-02,14.51,15.52,14.33,15.32,38656800
29-Oct-02,14.98,15.09,13.76,14.35,36883200
28-Oct-02,15.05,15.78,14.95,15.12,51277400
25-Oct-02,13.75,14.56,13.65,14.51,26555900
24-Oct-02,14.58,14.89,13.56,13.57,45952000
23-Oct-02,12.77,14.44,12.76,14.41,47343600
22-Oct-02,13.15,13.73,12.90,13.09,34548300
21-Oct-02,13.19,14.12,13.09,14.04,27054300
18-Oct-02,12.55,13.47,12.43,13.44,30292600
17-Oct-02,12.88,13.01,12.33,12.98,33599400
16-Oct-02,11.85,12.25,11.85,11.98,29076900
15-Oct-02,12.99,13.08,12.53,13.05,34760700
14-Oct-02,11.90,12.10,11.75,12.00,20155400
11-Oct-02,11.59,12.24,11.48,12.06,34194300
10-Oct-02,10.48,11.32,10.35,11.11,30742200
9-Oct-02,10.35,11.03,10.26,10.41,44673900
8-Oct-02,11.06,11.08,10.35,10.35,45342100
7-Oct-02,11.21,11.36,10.79,10.87,26546500
4-Oct-02,11.75,11.83,11.21,11.33,30360900
3-Oct-02,12.25,12.42,11.50,11.50,31659700
2-Oct-02,12.01,12.89,11.99,12.50,34519400
1-Oct-02,11.75,12.25,11.39,12.21,33542500
30-Sep-02,11.62,12.03,11.32,11.55,33296200
27-Sep-02,11.57,12.57,11.52,11.82,38199800
26-Sep-02,12.45,12.49,11.50,11.74,37775500
25-Sep-02,12.00,12.53,11.62,12.29,39149700
24-Sep-02,10.83,11.89,10.73,11.73,45872300
23-Sep-02,11.69,11.89,11.00,11.20,36834100
20-Sep-02,12.18,12.22,11.79,11.94,35078900
19-Sep-02,12.00,12.40,11.93,11.98,34755500
18-Sep-02,12.01,12.49,12.00,12.22,30373600
17-Sep-02,13.13,13.30,12.09,12.20,46396500
16-Sep-02,12.92,13.02,12.52,12.67,28559400
13-Sep-02,12.61,13.17,12.50,13.03,31651600
12-Sep-02,13.35,13.40,12.72,12.74,24801800
11-Sep-02,13.74,14.25,13.60,13.69,22894600
10-Sep-02,12.90,13.65,12.82,13.47,28155900
9-Sep-02,12.76,12.88,12.28,12.69,23957200
6-Sep-02,12.78,13.17,12.73,12.94,28904700
5-Sep-02,12.47,12.57,12.00,12.07,30491900
4-Sep-02,13.12,13.18,12.23,12.70,41018900
3-Sep-02,13.15,13.29,12.91,12.99,26967200
30-Aug-02,13.10,13.75,13.05,13.36,22279300
29-Aug-02,13.04,13.78,13.00,13.44,24756300
28-Aug-02,13.66,13.98,13.20,13.25,25837300
27-Aug-02,14.91,14.96,13.88,13.93,30406000
26-Aug-02,15.15,15.18,14.52,14.96,24736100
23-Aug-02,15.70,15.85,15.05,15.08,26542300
22-Aug-02,15.83,16.66,15.76,16.17,31542100
21-Aug-02,15.43,16.05,15.17,16.04,30108500
20-Aug-02,15.14,15.44,14.81,15.03,28785500
19-Aug-02,14.56,15.77,14.51,15.47,28118900
16-Aug-02,13.49,15.00,13.48,14.70,32968800
15-Aug-02,14.43,14.75,13.45,13.86,32965400
14-Aug-02,13.11,14.47,12.90,14.42,45063900
13-Aug-02,13.65,14.22,13.25,13.46,35503600
