Date,Open,High,Low,Close,Volume
6-Mar-03,26.60,26.70,26.00,26.16,4497700
5-Mar-03,27.45,27.45,26.53,26.74,5300600
4-Mar-03,27.10,27.82,26.91,27.45,5462000
3-Mar-03,27.70,27.80,27.02,27.11,4066300
28-Feb-03,28.00,28.12,27.24,27.56,3961500
27-Feb-03,28.11,28.31,27.66,27.95,3075800
26-Feb-03,28.36,28.50,27.64,27.84,3843400
25-Feb-03,28.44,28.50,27.99,28.19,4816200
24-Feb-03,29.28,29.64,28.40,28.49,4341500
21-Feb-03,29.00,29.64,28.43,29.64,4523300
20-Feb-03,30.18,30.20,28.20,29.17,7121600
19-Feb-03,30.00,30.18,29.59,30.18,2175900
18-Feb-03,30.50,30.80,29.88,30.00,2662600
14-Feb-03,29.45,30.47,29.43,30.15,3025100
13-Feb-03,29.46,29.81,28.90,29.50,2867000
12-Feb-03,29.80,29.89,29.36,29.63,2524400
11-Feb-03,30.27,30.51,29.57,29.84,2732400
10-Feb-03,30.10,30.48,29.89,30.27,2276900
7-Feb-03,30.65,30.90,29.90,30.00,2295100
6-Feb-03,30.66,30.97,30.33,30.55,2249800
5-Feb-03,31.07,31.63,30.54,30.67,3074100
4-Feb-03,30.63,31.25,30.33,31.07,3107700
3-Feb-03,30.73,31.33,30.36,30.94,4019600
31-Jan-03,31.21,32.04,31.03,31.42,3685800
30-Jan-03,30.11,31.13,30.04,30.49,3790800
29-Jan-03,31.29,31.29,30.33,30.44,2791500
28-Jan-03,30.57,31.38,30.42,31.28,2411600
27-Jan-03,30.84,31.08,30.43,30.45,2386400
24-Jan-03,31.43,31.68,30.83,30.84,2470100
23-Jan-03,31.63,32.09,31.61,31.68,2429400
22-Jan-03,31.88,32.52,31.59,31.61,3308700
21-Jan-03,33.11,33.13,32.09,32.22,2463800
17-Jan-03,33.17,33.55,32.85,33.11,2034900
16-Jan-03,33.62,34.05,33.10,33.28,2399800
15-Jan-03,33.86,34.20,33.07,33.17,2209700
14-Jan-03,33.96,34.05,33.64,33.96,1863500
13-Jan-03,33.96,34.40,33.57,34.11,3040900
10-Jan-03,33.73,33.91,33.25,33.67,3081100
9-Jan-03,33.57,33.86,33.19,33.72,3166100
8-Jan-03,33.19,33.32,32.85,33.32,3059200
7-Jan-03,33.93,33.94,32.85,33.12,2969700
6-Jan-03,33.86,34.37,33.78,33.94,2234100
3-Jan-03,33.91,34.25,33.71,33.99,2303000
2-Jan-03,32.82,33.74,32.82,33.70,2122500
31-Dec-02,32.49,32.95,32.29,32.81,2092400
30-Dec-02,32.15,32.82,32.15,32.72,2245100
27-Dec-02,32.72,32.91,31.97,32.15,1662600
26-Dec-02,32.67,33.10,32.34,32.45,1450000
24-Dec-02,32.72,32.92,32.35,32.47,1085000
23-Dec-02,32.53,32.77,32.22,32.61,2203300
20-Dec-02,32.74,32.76,32.11,32.53,4569300
19-Dec-02,31.56,32.30,31.56,32.07,2723700
18-Dec-02,31.60,32.32,31.25,31.85,2176300
17-Dec-02,31.89,32.56,31.67,31.68,2125900
16-Dec-02,31.10,31.93,31.08,31.75,3094800
13-Dec-02,31.88,31.88,31.23,31.23,2273900
12-Dec-02,31.83,32.32,31.63,31.88,2645400
11-Dec-02,31.88,32.46,31.58,32.35,3299700
10-Dec-02,32.17,32.42,31.83,32.07,3097300
9-Dec-02,32.45,33.07,32.13,32.22,2949700
6-Dec-02,32.22,33.57,32.05,33.22,3733700
5-Dec-02,33.57,33.58,32.25,32.78,3864400
4-Dec-02,33.59,34.19,33.38,33.75,2678800
3-Dec-02,34.06,34.31,33.63,34.05,2869600
2-Dec-02,34.41,34.69,33.52,33.91,2643600
29-Nov-02,34.84,34.84,33.62,33.86,2437900
27-Nov-02,33.81,34.95,33.67,34.83,3806800
26-Nov-02,33.52,33.86,33.08,33.49,3167200
25-Nov-02,33.37,34.00,33.02,33.31,3172200
22-Nov-02,32.66,34.24,32.62,33.81,5483700
21-Nov-02,32.02,32.84,31.85,32.26,5260700
20-Nov-02,31.03,32.07,31.03,31.56,3409500
19-Nov-02,30.85,31.48,30.45,31.23,3520400
18-Nov-02,31.37,31.61,30.73,30.75,3393400
15-Nov-02,31.18,31.83,30.87,31.33,2646500
14-Nov-02,31.93,32.22,30.70,31.18,3147700
13-Nov-02,31.46,32.09,30.70,31.25,3404900
12-Nov-02,31.46,31.75,30.91,31.32,4739000
11-Nov-02,32.82,32.85,30.67,30.89,3693400
8-Nov-02,32.50,33.24,32.15,32.82,4248000
7-Nov-02,33.42,33.53,31.76,31.94,4378800
6-Nov-02,31.69,34.06,31.66,33.22,8653700
5-Nov-02,29.55,31.64,29.55,31.18,4752200
4-Nov-02,30.08,30.53,29.31,29.35,4926600
1-Nov-02,29.47,30.32,29.24,30.07,2946900
31-Oct-02,30.07,30.19,29.23,29.43,2913300
30-Oct-02,29.45,30.06,28.89,29.87,3086400
29-Oct-02,28.59,29.58,28.23,29.38,4097200
28-Oct-02,30.09,30.47,28.39,28.67,5213700
25-Oct-02,29.67,30.02,29.03,29.99,3339500
24-Oct-02,30.54,30.86,29.38,29.63,4167500
23-Oct-02,29.65,30.38,29.53,30.37,3355100
22-Oct-02,29.66,29.95,29.23,29.82,4045700
21-Oct-02,28.69,30.17,28.27,30.03,6035500
18-Oct-02,28.38,29.13,28.22,28.69,7007700
17-Oct-02,30.42,30.67,29.14,29.66,8574700
16-Oct-02,31.81,32.17,29.94,30.17,7308000
15-Oct-02,31.19,32.06,30.80,31.80,4714700
14-Oct-02,29.97,31.01,29.92,30.73,5326300
11-Oct-02,31.41,32.30,31.00,31.66,4083100
10-Oct-02,29.97,31.36,29.66,31.01,4591300
9-Oct-02,31.06,31.41,29.63,30.11,6319100
8-Oct-02,32.64,32.65,30.84,31.66,4257500
7-Oct-02,31.87,32.55,31.29,32.03,4367100
4-Oct-02,33.95,33.95,31.61,31.66,7794400
3-Oct-02,34.40,34.92,33.82,33.94,3657400
2-Oct-02,35.12,35.12,33.76,34.01,2978900
1-Oct-02,33.95,35.63,33.88,35.61,3378800
30-Sep-02,34.03,34.44,32.84,33.76,4105800
27-Sep-02,35.91,35.91,34.29,34.33,3487900
26-Sep-02,35.42,36.20,35.18,36.16,2328300
25-Sep-02,34.72,35.12,34.13,35.03,3647900
24-Sep-02,34.74,35.32,34.28,34.58,3722200
23-Sep-02,35.51,35.61,34.48,35.02,3628200
20-Sep-02,35.51,36.35,35.27,36.09,5104100
19-Sep-02,35.61,36.30,35.07,35.14,3112500
18-Sep-02,35.70,36.75,35.62,36.37,3420600
17-Sep-02,37.00,37.18,35.68,35.90,3776900
16-Sep-02,35.51,37.01,35.51,36.83,3316600
13-Sep-02,35.48,35.78,34.63,35.20,3580800
12-Sep-02,36.48,36.71,35.96,36.06,2923100
11-Sep-02,37.03,37.39,36.52,36.68,2469500
10-Sep-02,36.90,37.37,36.16,36.78,2616900
9-Sep-02,36.81,37.35,36.11,36.95,3198600
6-Sep-02,36.19,37.24,36.15,36.81,2403500
5-Sep-02,36.06,36.55,35.61,35.64,2970800
4-Sep-02,35.12,36.66,34.87,36.45,2867600
3-Sep-02,36.40,36.45,34.85,35.08,3566600
30-Aug-02,36.53,37.29,36.30,36.67,2162000
29-Aug-02,36.33,37.39,35.94,36.77,3628200
28-Aug-02,36.63,37.44,36.01,37.13,4135700
27-Aug-02,36.70,37.28,36.20,36.63,2878600
26-Aug-02,36.73,36.87,35.46,36.49,3026100
23-Aug-02,38.08,38.08,36.50,36.73,3601900
22-Aug-02,37.19,38.23,36.86,38.08,2858800
21-Aug-02,37.59,38.02,36.51,37.16,2997600
20-Aug-02,38.15,38.15,37.32,37.47,2990800
19-Aug-02,37.11,38.14,37.01,38.08,3631600
16-Aug-02,37.54,37.94,36.59,37.10,4675000
15-Aug-02,35.61,37.54,35.02,37.09,7617800
14-Aug-02,36.43,36.44,33.73,35.96,12130700
13-Aug-02,39.29,39.30,36.53,36.66,9662900
12-Aug-02,39.54,40.03,38.94,39.88,2871100
9-Aug-02,40.47,41.01,39.79,40.37,3368000
8-Aug-02,40.37,40.96,39.63,40.87,3806300
7-Aug-02,39.24,40.50,39.09,40.47,3484100
6-Aug-02,38.41,39.97,38.41,38.81,3076200
5-Aug-02,39.04,39.65,37.94,38.02,3146300
2-Aug-02,40.01,40.23,38.50,39.24,2937200
1-Aug-02,40.37,40.77,39.73,40.01,3374200
31-Jul-02,41.02,41.02,39.73,40.88,4392400
30-Jul-02,41.35,41.36,39.98,41.01,5213200
29-Jul-02,42.28,42.33,40.67,41.39,5596700
26-Jul-02,41.85,41.86,39.53,41.36,3402100
25-Jul-02,40.37,42.28,39.69,42.28,5145300
24-Jul-02,36.93,40.74,36.53,40.56,5581600
23-Jul-02,37.86,39.29,37.52,38.26,5608500
22-Jul-02,39.19,39.54,37.01,37.94,5745600
19-Jul-02,40.26,40.37,38.95,39.31,4261500
18-Jul-02,42.43,42.44,40.60,40.66,3626200
17-Jul-02,41.77,42.53,41.51,42.28,6341000
16-Jul-02,39.44,41.16,39.44,40.24,5454200
15-Jul-02,39.24,39.26,36.63,39.15,5209100
12-Jul-02,40.61,40.86,38.53,39.54,3227900
11-Jul-02,40.18,40.84,38.94,40.54,5696900
10-Jul-02,42.85,43.03,39.84,40.18,6568600
