Date,Open,High,Low,Close,Volume
5-Mar-03,27.55,27.95,27.25,27.71,3621800
4-Mar-03,28.26,28.26,27.15,27.37,7136200
3-Mar-03,27.40,28.45,27.05,28.25,18391600
28-Feb-03,30.50,31.13,30.32,30.97,2461900
27-Feb-03,30.10,30.92,29.86,30.40,2100600
26-Feb-03,29.98,30.12,29.62,29.85,2481700
25-Feb-03,29.55,30.20,28.90,30.10,3491300
24-Feb-03,30.63,30.64,29.56,29.78,2604000
21-Feb-03,30.30,31.09,29.86,30.82,2337900
20-Feb-03,31.00,31.00,30.03,30.17,2328100
19-Feb-03,32.11,32.74,30.44,30.85,4119300
18-Feb-03,30.50,32.39,30.50,32.10,4030000
14-Feb-03,29.20,30.29,29.01,30.21,2887100
13-Feb-03,29.76,29.76,28.12,29.11,5485500
12-Feb-03,29.40,30.36,29.32,29.75,4102700
11-Feb-03,29.84,30.48,29.62,29.71,2513400
10-Feb-03,30.08,30.18,29.05,29.84,2526900
7-Feb-03,30.40,31.01,29.62,30.00,2447400
6-Feb-03,30.54,30.54,29.82,29.82,2927600
5-Feb-03,31.09,31.76,30.29,30.54,2486500
4-Feb-03,31.02,31.42,30.47,31.01,2969200
3-Feb-03,31.03,32.27,31.02,31.79,2817500
31-Jan-03,31.06,31.39,30.03,31.02,3401400
30-Jan-03,31.82,31.82,30.77,31.05,2993000
29-Jan-03,31.43,32.12,30.68,31.81,3417800
28-Jan-03,30.72,31.80,30.72,31.63,3279300
27-Jan-03,31.17,32.02,30.21,30.39,3855000
24-Jan-03,32.27,32.61,31.42,31.49,2929900
23-Jan-03,32.85,33.27,30.82,32.23,6958500
22-Jan-03,31.96,33.46,31.61,32.77,4958500
21-Jan-03,33.23,33.87,31.72,31.95,4095700
17-Jan-03,34.17,34.47,32.42,33.22,9583900
16-Jan-03,36.21,36.72,35.04,35.15,8119300
15-Jan-03,38.68,38.68,36.08,36.92,8082500
14-Jan-03,38.37,38.79,38.07,38.67,3059800
13-Jan-03,39.09,39.66,38.04,38.86,4828100
10-Jan-03,36.48,39.27,35.53,38.97,11097900
9-Jan-03,35.99,36.67,34.33,36.48,8111300
8-Jan-03,32.18,36.57,31.82,35.38,14350300
7-Jan-03,33.09,33.72,32.02,32.17,3324000
6-Jan-03,32.10,34.35,32.02,33.21,4761600
3-Jan-03,31.70,32.10,31.13,31.72,2156700
2-Jan-03,30.17,31.80,29.86,31.69,4736000
31-Dec-02,30.23,30.45,29.49,29.69,1976400
30-Dec-02,29.62,30.35,29.33,30.08,2352900
27-Dec-02,31.13,31.17,29.39,29.62,3338300
26-Dec-02,31.65,32.00,30.90,31.22,1355200
24-Dec-02,31.09,31.76,31.09,31.22,662000
23-Dec-02,31.60,32.58,31.31,31.57,2393300
20-Dec-02,30.96,31.97,30.96,31.51,2968000
19-Dec-02,30.64,31.40,30.49,30.95,2832600
18-Dec-02,31.27,31.42,30.28,30.63,3214700
17-Dec-02,31.92,32.88,31.62,31.86,2770000
16-Dec-02,30.59,32.45,30.57,32.22,3334200
13-Dec-02,32.06,32.06,30.17,30.17,5619600
12-Dec-02,31.99,33.54,31.87,32.05,3011300
11-Dec-02,32.44,32.44,31.26,32.17,5133800
10-Dec-02,32.73,33.29,32.24,32.92,2719700
9-Dec-02,33.78,34.17,32.47,32.73,2913100
6-Dec-02,33.72,34.93,33.27,33.74,3944700
5-Dec-02,34.47,35.14,34.12,34.59,2554300
4-Dec-02,33.37,35.52,32.52,34.45,3727000
3-Dec-02,33.97,35.17,33.84,33.97,5393500
2-Dec-02,33.77,36.42,33.77,35.80,4779200
29-Nov-02,34.53,34.57,33.76,33.77,917400
27-Nov-02,33.87,34.71,33.25,34.62,2980300
26-Nov-02,33.94,34.94,32.77,32.92,4260400
25-Nov-02,31.92,34.20,31.80,33.69,4384100
22-Nov-02,33.13,33.47,31.35,31.51,9447300
21-Nov-02,29.84,33.37,29.77,33.12,8422600
20-Nov-02,29.00,29.52,28.99,29.35,3424800
19-Nov-02,28.91,29.45,28.48,28.99,4240400
18-Nov-02,30.97,31.16,28.87,28.91,6717600
15-Nov-02,29.98,31.25,29.48,30.97,6254000
14-Nov-02,31.42,31.42,29.72,29.97,10737300
13-Nov-02,28.55,29.08,27.12,28.14,5754800
12-Nov-02,29.31,29.50,28.44,28.54,3755800
11-Nov-02,29.24,30.09,28.20,29.30,4127800
8-Nov-02,31.02,31.54,29.06,29.29,5055800
7-Nov-02,32.47,32.67,30.80,30.92,5104400
6-Nov-02,33.87,34.02,31.98,33.03,5951300
5-Nov-02,32.79,33.70,32.24,33.64,4378200
4-Nov-02,32.04,33.96,32.04,33.01,5012300
1-Nov-02,30.43,31.45,29.57,31.25,4766300
31-Oct-02,31.30,31.97,30.32,30.42,2594000
30-Oct-02,30.43,31.93,30.02,31.29,3445500
29-Oct-02,30.47,30.70,29.07,30.23,4134600
28-Oct-02,30.27,31.70,30.27,30.84,4687700
25-Oct-02,29.75,30.34,28.62,30.26,5882600
24-Oct-02,32.54,32.68,28.23,28.70,8987100
23-Oct-02,32.17,32.17,30.12,31.73,4355500
22-Oct-02,30.90,32.99,30.70,32.16,4117600
21-Oct-02,29.95,31.61,29.45,31.58,4086900
18-Oct-02,28.62,30.45,28.12,30.12,4506700
17-Oct-02,29.95,30.51,27.70,28.91,8696500
16-Oct-02,28.95,29.39,25.45,27.80,21173100
15-Oct-02,36.19,36.37,33.71,34.58,7797200
14-Oct-02,30.36,32.24,30.15,32.10,3184900
11-Oct-02,29.18,31.85,29.18,30.61,5789600
10-Oct-02,26.46,29.45,26.06,29.17,5291300
9-Oct-02,28.66,28.70,26.12,26.45,7644400
8-Oct-02,28.30,30.91,27.50,29.64,5967300
7-Oct-02,28.95,29.35,27.77,28.01,7148400
4-Oct-02,32.99,33.03,29.83,30.33,6468300
3-Oct-02,33.72,34.09,32.29,32.37,4124400
2-Oct-02,35.44,35.72,32.44,33.54,4351100
1-Oct-02,35.34,36.44,33.79,36.26,2834500
30-Sep-02,34.34,35.46,32.32,34.86,5427900
27-Sep-02,35.94,36.69,34.09,34.64,3346900
26-Sep-02,35.41,36.54,35.31,36.18,3576300
25-Sep-02,35.09,35.69,33.33,35.32,5508400
24-Sep-02,34.60,35.44,33.44,34.19,3648400
23-Sep-02,34.14,34.90,33.33,34.59,3226200
20-Sep-02,34.81,35.14,34.09,34.79,4241300
19-Sep-02,34.94,35.67,34.69,34.81,3210500
18-Sep-02,35.18,37.04,33.94,35.93,7533000
17-Sep-02,38.58,38.60,34.64,35.18,7239000
16-Sep-02,38.73,39.43,37.18,38.60,1882600
13-Sep-02,37.74,39.53,37.44,38.85,2975900
12-Sep-02,40.43,40.43,38.48,38.53,4476800
11-Sep-02,39.93,41.43,39.93,40.93,4728800
10-Sep-02,38.42,39.29,37.58,38.88,5092600
9-Sep-02,36.19,39.81,36.14,39.41,6002600
6-Sep-02,35.74,36.94,35.61,36.45,2846600
5-Sep-02,34.99,35.76,33.99,35.01,3515400
4-Sep-02,33.84,35.75,33.38,35.47,3194700
3-Sep-02,34.86,34.91,33.36,33.38,4051400
30-Aug-02,35.14,36.39,34.87,35.61,2191600
29-Aug-02,34.69,35.84,33.94,35.45,4093600
28-Aug-02,35.39,35.52,34.74,35.27,2974800
27-Aug-02,37.19,37.55,35.44,35.74,3043600
26-Aug-02,36.24,36.79,35.09,36.57,2711800
23-Aug-02,36.89,36.99,35.76,36.00,3109700
22-Aug-02,35.59,37.93,34.84,37.12,5585700
21-Aug-02,35.04,35.83,34.34,35.22,3245400
20-Aug-02,34.49,35.34,33.64,34.92,3418900
19-Aug-02,31.95,35.14,31.60,34.74,5526600
16-Aug-02,32.04,33.34,31.15,32.44,4067600
15-Aug-02,31.15,33.04,30.85,32.69,6615900
14-Aug-02,26.75,31.05,26.25,31.00,9125500
13-Aug-02,29.05,30.03,28.52,29.15,5012700
12-Aug-02,28.20,28.90,27.26,28.83,4513600
9-Aug-02,27.35,29.54,26.87,29.05,5487100
8-Aug-02,26.20,28.30,24.21,27.65,8812300
7-Aug-02,26.67,27.45,24.01,25.24,12086600
6-Aug-02,25.85,27.50,25.31,26.66,8435600
5-Aug-02,28.57,28.80,24.13,24.63,9431300
2-Aug-02,29.97,30.04,27.94,28.52,3484500
1-Aug-02,31.71,31.71,29.68,29.92,4108500
31-Jul-02,30.05,31.69,29.99,31.61,6900700
30-Jul-02,29.42,30.31,27.47,29.85,11051900
29-Jul-02,30.41,32.26,28.32,29.27,10424700
26-Jul-02,33.66,33.66,30.17,30.41,9583400
25-Jul-02,32.41,34.26,30.90,32.30,7287700
24-Jul-02,27.92,33.90,26.48,33.22,11891400
23-Jul-02,34.21,34.45,30.12,30.90,8538700
22-Jul-02,35.65,36.90,34.00,34.00,9413900
19-Jul-02,33.39,37.10,33.06,35.11,9753600
18-Jul-02,30.31,34.10,29.91,33.22,19137700
17-Jul-02,33.41,41.50,29.91,30.39,42710700
16-Jul-02,50.61,51.76,49.18,50.46,4018300
15-Jul-02,50.96,51.01,48.06,50.97,4137000
12-Jul-02,50.66,52.44,49.41,51.36,4496800
11-Jul-02,51.46,51.48,48.50,50.28,8591300
10-Jul-02,55.88,56.64,51.21,51.27,9166900
9-Jul-02,57.44,57.84,55.29,55.29,3166900
8-Jul-02,59.43,60.48,57.60,57.87,2865100
5-Jul-02,57.94,60.13,57.74,59.78,1062800
3-Jul-02,55.84,57.32,54.76,57.32,2423800
2-Jul-02,58.38,58.38,56.54,56.59,2676200
1-Jul-02,60.63,60.93,58.12,58.37,2861900
28-Jun-02,58.94,61.73,58.83,60.88,3068400
27-Jun-02,57.69,59.08,57.09,58.93,2676800
26-Jun-02,56.29,56.94,55.45,56.64,2648400
25-Jun-02,57.88,59.81,57.34,57.40,2031500
24-Jun-02,56.44,58.83,55.08,57.88,2576000
21-Jun-02,56.64,57.24,56.08,57.19,2135700
20-Jun-02,58.56,58.56,56.79,56.89,2878600
19-Jun-02,58.83,59.18,58.14,58.56,2835800
18-Jun-02,58.83,59.92,58.64,59.62,2655100
17-Jun-02,56.74,59.43,56.64,59.43,3582400
14-Jun-02,54.05,55.58,51.85,55.47,3653300
13-Jun-02,56.94,56.94,54.46,55.12,3994500
12-Jun-02,58.93,59.03,56.22,56.84,4014000
11-Jun-02,60.13,61.07,58.67,58.82,1794600
10-Jun-02,59.93,59.98,58.42,59.63,1666700
7-Jun-02,58.83,60.02,58.11,59.83,1925600
6-Jun-02,60.33,60.46,59.32,59.61,1718300
5-Jun-02,59.08,60.57,59.08,60.28,1777400
4-Jun-02,60.28,60.38,58.39,59.06,3303400
3-Jun-02,61.93,62.67,60.35,60.36,1613600
31-May-02,61.58,62.82,61.53,62.26,1381100
30-May-02,61.83,62.07,61.28,61.90,1539400
29-May-02,61.33,62.72,61.24,62.07,1613200
28-May-02,63.22,63.42,61.36,61.44,1986400
24-May-02,62.91,63.57,62.70,63.27,1053000
23-May-02,62.19,63.17,61.72,63.16,1348700
22-May-02,61.58,62.22,61.07,62.18,1180300
21-May-02,63.42,63.52,61.27,61.83,2021500
20-May-02,64.02,64.25,62.53,62.61,1723600
17-May-02,63.77,64.14,62.92,64.02,1906000
16-May-02,64.12,64.16,62.34,63.77,2755300
15-May-02,64.07,64.29,63.17,64.29,1767400
14-May-02,64.07,64.75,62.77,64.47,2604200
13-May-02,61.08,62.21,60.46,61.85,1961600
10-May-02,60.36,61.82,59.83,60.13,3007200
9-May-02,61.73,61.83,60.33,60.35,1688200
8-May-02,59.83,62.52,59.78,62.33,2957000
7-May-02,57.99,59.10,57.65,58.14,2228600
6-May-02,59.38,59.99,57.24,57.24,2271900
3-May-02,59.80,60.00,59.06,59.55,2376700
2-May-02,59.12,60.50,58.75,60.34,3161700
1-May-02,59.36,59.55,57.01,59.11,3527700
30-Apr-02,58.88,60.10,58.88,59.69,3957300
29-Apr-02,61.80,61.85,58.36,58.56,4859700
26-Apr-02,62.91,63.39,61.70,61.85,2306100
25-Apr-02,64.20,64.20,62.34,62.68,3273000
24-Apr-02,65.24,65.64,63.69,64.19,3392400
23-Apr-02,64.49,65.85,64.35,65.29,2715800
22-Apr-02,64.79,65.63,64.31,64.77,2912800
19-Apr-02,65.19,65.59,64.44,65.54,2677300
18-Apr-02,63.79,64.95,63.59,64.88,6550800
17-Apr-02,63.55,66.28,62.96,63.70,9603900
16-Apr-02,62.30,63.78,62.30,63.55,2077600
15-Apr-02,62.79,63.14,61.55,61.77,1231700
12-Apr-02,62.60,63.22,62.00,62.25,2158700
