Date,Open,High,Low,Close,Volume
5-Mar-03,23.25,23.90,23.24,23.80,21168300
4-Mar-03,23.73,23.80,23.28,23.40,16680100
3-Mar-03,24.20,24.50,23.80,23.90,21023300
28-Feb-03,23.90,24.19,23.74,24.05,22358000
27-Feb-03,23.47,24.05,23.33,23.90,24811100
26-Feb-03,23.85,23.97,23.34,23.37,18853200
25-Feb-03,22.97,23.86,22.72,23.79,24857300
24-Feb-03,23.76,24.01,23.23,23.23,23585300
21-Feb-03,23.26,23.82,22.95,23.61,25029000
20-Feb-03,23.12,23.30,22.96,23.17,23752500
19-Feb-03,22.74,23.17,22.53,23.17,19038000
18-Feb-03,22.36,22.88,22.36,22.73,21042400
14-Feb-03,21.91,22.30,21.65,22.30,26371500
13-Feb-03,22.10,22.12,21.13,21.99,22660300
12-Feb-03,22.32,22.50,22.06,22.07,18219100
11-Feb-03,22.47,22.64,22.22,22.32,21898300
10-Feb-03,22.43,22.52,22.05,22.45,23560500
7-Feb-03,22.82,22.92,22.28,22.52,22822100
6-Feb-03,22.72,22.89,22.42,22.71,19594000
5-Feb-03,23.02,23.43,22.67,22.82,19998900
4-Feb-03,22.97,23.05,22.69,22.87,24473300
3-Feb-03,23.17,23.56,23.07,23.46,21327600
31-Jan-03,22.32,23.07,22.27,22.96,26239200
30-Jan-03,22.86,22.97,22.34,22.37,21649400
29-Jan-03,22.62,23.05,22.33,22.85,25473300
28-Jan-03,23.41,23.41,22.85,22.97,22571000
27-Jan-03,22.87,23.57,22.55,22.87,28459900
24-Jan-03,23.61,23.76,22.83,22.88,23816200
23-Jan-03,23.46,24.04,23.43,23.76,21979700
22-Jan-03,23.86,23.88,23.32,23.36,24849200
21-Jan-03,24.69,24.83,23.80,23.87,21500100
17-Jan-03,24.60,25.36,24.11,24.68,25292900
16-Jan-03,25.30,25.69,24.55,24.83,24472900
15-Jan-03,25.72,25.73,24.98,24.99,20564000
14-Jan-03,25.50,25.64,25.22,25.51,18353200
13-Jan-03,25.55,25.77,25.31,25.44,19551600
10-Jan-03,25.35,25.77,25.30,25.45,18590600
9-Jan-03,25.55,25.74,25.43,25.69,19371400
8-Jan-03,25.65,25.74,25.16,25.30,21583800
7-Jan-03,25.78,26.05,25.55,25.69,21805700
6-Jan-03,25.20,25.99,25.15,25.84,18845000
3-Jan-03,25.15,25.28,24.81,25.20,15025700
2-Jan-03,24.45,25.40,24.36,25.28,21813600
31-Dec-02,24.16,24.40,23.91,24.16,21182900
30-Dec-02,24.34,24.55,24.01,24.31,22054600
27-Dec-02,25.00,25.10,24.35,24.50,18600200
26-Dec-02,25.18,25.58,24.81,24.91,15078000
24-Dec-02,25.01,25.24,24.91,24.94,7503200
23-Dec-02,25.26,25.60,25.08,25.33,20381800
20-Dec-02,25.45,25.60,25.16,25.55,31926100
19-Dec-02,25.06,25.45,24.71,25.01,20959900
18-Dec-02,25.50,26.23,25.08,25.27,18582700
17-Dec-02,26.02,26.02,25.40,25.60,19211000
16-Dec-02,25.26,26.02,25.24,26.02,21068200
13-Dec-02,25.51,25.51,24.86,25.11,20358200
12-Dec-02,25.70,25.88,25.29,25.50,15490300
11-Dec-02,25.35,26.31,25.16,25.74,20217800
10-Dec-02,25.32,25.60,25.12,25.53,17103900
9-Dec-02,25.26,25.78,25.07,25.11,17806500
6-Dec-02,24.86,25.70,24.82,25.65,17615800
5-Dec-02,26.34,26.50,25.35,25.40,18212700
4-Dec-02,26.09,26.78,26.02,26.11,24661100
3-Dec-02,26.77,26.77,26.13,26.34,19630900
2-Dec-02,27.55,27.55,26.51,26.78,22115900
29-Nov-02,26.88,26.97,26.59,26.70,12273400
27-Nov-02,26.24,26.98,26.19,26.73,23235600
26-Nov-02,26.09,26.38,25.87,25.94,25034600
25-Nov-02,25.80,26.53,25.76,26.39,25462600
22-Nov-02,26.19,26.34,25.94,26.04,27472500
21-Nov-02,24.42,26.48,24.42,26.44,64205500
20-Nov-02,23.43,24.42,23.39,24.42,33298300
19-Nov-02,22.94,23.63,22.84,23.53,30603400
18-Nov-02,23.65,24.24,23.24,23.24,28107700
15-Nov-02,23.14,23.65,23.13,23.49,35889800
14-Nov-02,24.22,24.51,23.99,24.12,26352100
13-Nov-02,23.53,23.93,23.10,23.72,27840500
12-Nov-02,23.93,24.17,23.38,23.48,32306500
11-Nov-02,24.37,24.57,23.67,23.84,25250200
8-Nov-02,25.45,25.60,24.25,24.71,30809100
7-Nov-02,26.20,26.20,25.35,25.71,22929100
6-Nov-02,26.49,26.57,25.55,26.19,27103100
5-Nov-02,25.99,26.19,25.65,26.09,18510700
4-Nov-02,26.09,26.58,25.81,26.09,25118100
1-Nov-02,24.89,25.60,24.58,25.60,22739200
31-Oct-02,24.81,25.26,24.66,24.86,26814200
30-Oct-02,25.26,25.40,24.52,24.76,33492200
29-Oct-02,25.80,25.86,24.81,25.45,22631100
28-Oct-02,26.44,26.49,25.64,25.85,23009800
25-Oct-02,25.40,26.04,25.37,25.84,23676200
24-Oct-02,26.68,26.78,25.26,25.60,32493200
23-Oct-02,26.54,26.58,25.70,26.49,26630300
22-Oct-02,26.59,26.65,26.09,26.65,21411700
21-Oct-02,25.80,26.79,25.80,26.73,23026000
18-Oct-02,26.19,26.48,25.69,26.24,21455800
17-Oct-02,26.49,26.54,25.99,26.48,25829800
16-Oct-02,25.45,25.66,24.80,25.21,27515700
15-Oct-02,25.11,25.87,24.91,25.80,44052300
14-Oct-02,23.83,24.37,23.52,23.98,24922200
11-Oct-02,23.61,24.53,23.08,23.84,59969800
10-Oct-02,21.32,22.25,21.07,22.25,60584700
9-Oct-02,22.20,22.21,21.56,21.66,48248000
8-Oct-02,22.89,23.53,22.14,22.99,42285500
7-Oct-02,23.65,24.08,22.49,22.60,38573100
4-Oct-02,24.86,24.91,23.63,23.64,30801800
3-Oct-02,24.47,25.48,24.18,24.24,29716100
2-Oct-02,25.35,25.57,23.82,24.42,30036100
1-Oct-02,24.37,25.80,24.22,25.80,40118700
30-Sep-02,23.63,24.47,23.15,24.27,49836400
27-Sep-02,24.86,24.91,23.97,24.09,55036400
26-Sep-02,27.08,27.58,25.39,25.98,56588200
25-Sep-02,26.58,26.76,25.73,26.58,32598200
24-Sep-02,25.08,25.81,24.98,25.32,29297800
23-Sep-02,25.76,26.13,25.35,25.81,21413300
20-Sep-02,25.97,26.30,25.44,26.16,40941900
19-Sep-02,26.16,26.64,25.96,25.96,22387300
18-Sep-02,26.60,27.28,26.30,26.74,25912500
17-Sep-02,28.30,28.30,26.90,27.08,25050400
16-Sep-02,26.50,27.36,26.45,27.28,18761200
13-Sep-02,27.04,27.13,26.35,26.45,36293700
12-Sep-02,28.11,28.18,27.23,27.38,20250800
11-Sep-02,28.71,29.04,28.26,28.36,14921600
10-Sep-02,28.55,28.94,27.99,28.43,20361000
9-Sep-02,27.52,28.48,27.32,28.14,17364600
6-Sep-02,28.21,28.26,27.62,27.67,18102200
5-Sep-02,27.67,28.20,27.32,27.38,25022700
4-Sep-02,27.96,28.35,27.65,28.06,26574100
3-Sep-02,28.84,28.86,27.81,27.83,30159600
30-Aug-02,29.53,30.00,29.31,29.48,20144600
29-Aug-02,29.82,29.99,29.38,29.68,25582300
28-Aug-02,30.90,31.09,30.32,30.60,17400600
27-Aug-02,31.78,32.02,30.98,31.24,20288200
26-Aug-02,31.63,31.68,30.59,31.36,18404900
23-Aug-02,31.53,31.69,31.28,31.53,16547100
22-Aug-02,31.68,32.25,31.42,31.97,20575300
21-Aug-02,31.92,32.16,31.15,31.58,21387900
20-Aug-02,31.92,32.01,31.19,31.53,20365700
19-Aug-02,30.85,32.16,30.80,32.16,24067300
16-Aug-02,31.29,31.58,30.51,30.85,21838800
15-Aug-02,31.19,31.69,30.49,31.57,28889000
14-Aug-02,30.07,31.44,29.14,31.19,37303100
13-Aug-02,31.09,31.51,30.12,30.26,26276700
12-Aug-02,31.05,31.68,30.75,31.53,20814600
9-Aug-02,30.80,31.83,30.55,31.68,27147500
8-Aug-02,30.12,31.48,29.93,31.24,33182300
7-Aug-02,29.79,30.17,28.89,30.07,28468600
6-Aug-02,28.60,29.92,28.55,28.99,36171200
5-Aug-02,28.70,29.03,27.64,27.67,27420400
2-Aug-02,30.16,30.55,28.44,28.84,38480700
1-Aug-02,31.39,31.57,30.56,30.70,32957900
31-Jul-02,30.90,31.48,29.57,31.48,45183900
30-Jul-02,29.33,31.05,28.98,30.90,43502200
29-Jul-02,28.25,29.77,28.20,29.77,45171800
26-Jul-02,26.45,27.26,25.90,27.18,35789000
25-Jul-02,26.01,26.60,25.28,26.06,39859600
24-Jul-02,23.65,26.16,22.51,25.94,62394500
23-Jul-02,25.40,25.57,23.93,24.25,48600100
22-Jul-02,25.91,26.29,24.78,25.09,44461300
19-Jul-02,26.50,27.08,25.67,25.93,36109200
18-Jul-02,27.43,28.00,26.90,27.08,27972300
17-Jul-02,27.77,27.86,26.84,27.62,38286700
16-Jul-02,26.71,27.52,26.71,26.94,35834900
15-Jul-02,27.85,27.89,24.69,27.62,37506900
12-Jul-02,27.48,29.27,26.55,27.96,48120400
11-Jul-02,26.20,27.23,25.81,26.74,51499200
10-Jul-02,27.77,28.11,26.45,26.45,33494000
9-Jul-02,28.75,29.07,27.61,27.67,24683800
8-Jul-02,29.04,29.26,28.43,28.78,20376200
5-Jul-02,28.11,29.09,27.87,29.03,19258000
3-Jul-02,26.64,27.33,26.30,27.28,30474700
2-Jul-02,27.52,27.88,26.80,27.48,31547900
1-Jul-02,28.41,28.88,27.62,27.82,26966400
28-Jun-02,29.24,29.58,28.38,28.40,32465400
27-Jun-02,29.04,29.33,28.10,29.24,33238500
26-Jun-02,26.89,29.25,26.81,28.84,45000400
25-Jun-02,29.10,29.34,27.89,28.08,29769400
24-Jun-02,27.74,29.15,27.30,28.76,37185500
21-Jun-02,28.32,28.86,27.94,28.13,39211800
20-Jun-02,29.39,29.68,28.76,28.86,20761900
19-Jun-02,29.83,30.47,29.44,29.49,20921100
18-Jun-02,29.54,30.51,29.38,30.27,21798000
17-Jun-02,29.15,29.78,29.03,29.65,21291800
14-Jun-02,28.67,28.96,28.06,28.86,34148300
13-Jun-02,29.15,29.59,28.90,29.00,20831500
12-Jun-02,28.57,29.55,28.52,29.49,28132500
11-Jun-02,29.25,29.59,28.52,28.57,22304000
10-Jun-02,29.30,29.54,28.91,29.10,20841500
7-Jun-02,27.60,29.39,27.60,29.35,31579000
6-Jun-02,29.44,29.44,28.29,28.47,21379200
5-Jun-02,29.39,29.60,28.97,29.30,23873000
4-Jun-02,29.15,29.55,28.95,29.20,33315200
3-Jun-02,30.26,30.27,29.10,29.26,28920400
31-May-02,30.32,30.78,30.12,30.26,19921400
30-May-02,30.03,30.51,29.88,30.32,20828300
29-May-02,30.95,31.38,30.42,30.51,16757300
28-May-02,31.82,31.91,30.96,31.14,14276200
24-May-02,32.02,32.07,31.56,31.68,14183600
23-May-02,31.19,32.02,30.92,32.02,18058500
22-May-02,31.09,31.28,30.61,31.02,18914100
21-May-02,31.97,32.26,31.09,31.24,19864200
20-May-02,32.07,32.08,31.56,31.68,20308400
17-May-02,31.48,32.50,31.34,32.50,32674100
