Date,Open,High,Low,Close,Volume
5-Mar-03,42.00,42.29,41.57,42.29,1701400
4-Mar-03,43.38,43.38,42.05,42.15,1725600
3-Mar-03,43.32,43.45,43.06,43.20,1815300
28-Feb-03,43.04,43.45,42.61,42.87,1710800
27-Feb-03,43.75,43.78,42.87,43.10,2597400
26-Feb-03,43.90,43.90,42.90,43.60,2872900
25-Feb-03,43.20,44.00,42.83,43.98,2076500
24-Feb-03,43.80,43.89,43.36,43.44,1240200
21-Feb-03,43.76,44.17,43.54,44.06,1721500
20-Feb-03,45.10,45.10,43.75,43.75,2655600
19-Feb-03,45.22,45.25,44.83,45.09,1327800
18-Feb-03,45.28,45.70,45.00,45.15,1633900
14-Feb-03,44.85,45.43,44.76,45.27,2355900
13-Feb-03,44.10,44.51,43.66,44.15,1349100
12-Feb-03,44.30,44.70,44.01,44.10,1110700
11-Feb-03,44.94,45.08,44.22,44.25,1658900
10-Feb-03,44.60,44.98,44.27,44.82,991500
7-Feb-03,44.43,44.57,44.06,44.41,861100
6-Feb-03,44.42,44.59,44.01,44.20,1547200
5-Feb-03,44.55,45.17,44.44,44.62,1243300
4-Feb-03,44.78,44.95,44.29,44.54,1995600
3-Feb-03,45.00,45.04,44.62,45.02,1245700
31-Jan-03,44.00,44.93,43.94,44.93,2187300
30-Jan-03,44.70,44.85,44.14,44.16,2074500
29-Jan-03,45.05,45.10,44.50,44.70,4158000
28-Jan-03,45.47,45.96,45.31,45.75,1130000
27-Jan-03,45.55,45.79,44.82,45.47,2171800
24-Jan-03,46.60,46.87,45.97,46.00,1045000
23-Jan-03,46.98,47.05,46.55,46.57,1169700
22-Jan-03,47.00,47.45,46.73,46.80,1720600
21-Jan-03,47.47,47.82,46.94,47.00,1022900
17-Jan-03,47.75,48.06,47.46,47.55,992400
16-Jan-03,47.97,48.18,47.50,47.84,1119400
15-Jan-03,48.00,48.00,47.75,47.91,1675700
14-Jan-03,47.80,48.00,47.50,48.00,1166500
13-Jan-03,47.45,48.00,47.36,47.98,2370700
10-Jan-03,47.01,47.48,46.81,47.25,1752100
9-Jan-03,46.30,47.21,46.30,47.01,1994400
8-Jan-03,46.51,46.95,46.30,46.49,1327400
7-Jan-03,47.22,47.22,46.32,46.51,1648900
6-Jan-03,47.22,47.39,46.86,47.24,1918000
3-Jan-03,47.35,47.36,46.83,47.22,1171800
2-Jan-03,46.67,47.47,46.67,47.37,1920000
31-Dec-02,46.69,46.79,46.05,46.67,812300
30-Dec-02,46.09,46.68,46.09,46.59,1348900
27-Dec-02,46.62,46.65,45.98,46.09,618900
26-Dec-02,46.62,46.95,46.32,46.43,945300
24-Dec-02,46.90,46.90,46.47,46.60,227000
23-Dec-02,46.62,46.97,46.35,46.67,1563000
20-Dec-02,46.08,46.72,46.08,46.39,1998300
19-Dec-02,45.73,45.97,45.46,45.94,1984700
18-Dec-02,44.98,45.71,44.45,45.71,3392100
17-Dec-02,43.77,44.88,43.74,44.63,2312400
16-Dec-02,43.54,43.94,43.26,43.76,1022400
13-Dec-02,42.94,43.69,42.75,43.23,1982200
12-Dec-02,43.54,43.97,42.94,42.94,1230500
11-Dec-02,44.09,44.09,43.15,43.71,881100
10-Dec-02,43.64,44.19,43.44,44.08,1015700
9-Dec-02,44.04,44.54,43.44,43.64,1132300
6-Dec-02,43.76,44.29,43.51,43.83,1071300
5-Dec-02,44.18,44.34,43.61,43.94,764800
4-Dec-02,43.91,44.42,43.84,44.18,701900
3-Dec-02,43.44,44.19,43.40,43.70,1154900
2-Dec-02,44.56,44.61,43.44,43.59,1525700
29-Nov-02,44.34,44.46,44.07,44.36,887400
27-Nov-02,44.75,44.75,44.14,44.34,1145900
26-Nov-02,44.65,44.73,44.11,44.50,1078000
25-Nov-02,45.69,45.75,44.34,44.65,1554200
22-Nov-02,45.20,45.97,44.99,45.69,2323800
21-Nov-02,45.21,45.53,44.84,45.20,2410000
20-Nov-02,44.77,45.21,44.55,45.21,2063300
19-Nov-02,43.54,44.83,43.54,44.77,1820200
18-Nov-02,44.34,44.38,43.39,43.71,1427600
15-Nov-02,43.49,44.49,43.29,44.16,1967100
14-Nov-02,43.26,43.74,42.85,43.72,1819600
13-Nov-02,42.80,43.49,42.59,43.03,1910700
12-Nov-02,42.70,42.99,42.34,42.70,3521400
11-Nov-02,41.60,42.40,41.48,42.21,2282700
8-Nov-02,42.05,42.60,41.50,41.60,1778900
7-Nov-02,42.10,42.40,41.89,42.05,1142500
6-Nov-02,42.34,42.39,41.76,42.06,1046500
5-Nov-02,41.80,42.35,41.80,42.34,1540000
4-Nov-02,41.65,42.10,41.41,41.67,2067800
1-Nov-02,41.01,41.69,40.78,41.50,2136700
31-Oct-02,40.86,41.39,39.91,41.08,2056700
30-Oct-02,40.87,40.95,40.16,40.59,1777300
29-Oct-02,40.16,40.69,39.78,40.69,3452700
28-Oct-02,40.33,40.46,39.76,39.90,2775800
25-Oct-02,40.76,41.06,40.16,40.36,2532600
24-Oct-02,41.38,41.41,40.37,40.77,3018700
23-Oct-02,40.51,41.24,40.32,41.20,8203700
22-Oct-02,41.60,42.05,40.81,41.01,9627300
21-Oct-02,41.84,43.59,41.47,43.59,1505700
18-Oct-02,41.75,41.95,40.76,41.44,1649800
17-Oct-02,42.05,42.26,41.16,42.15,2233100
16-Oct-02,42.56,43.09,41.80,42.40,710700
15-Oct-02,42.90,42.95,41.95,42.56,968500
14-Oct-02,41.26,42.68,41.26,42.58,1709800
11-Oct-02,42.15,42.15,41.07,41.26,2528100
10-Oct-02,42.75,43.10,41.99,42.15,1414300
9-Oct-02,43.96,43.96,41.95,42.75,2989800
8-Oct-02,43.84,44.73,43.69,43.95,1895200
7-Oct-02,43.96,44.36,43.32,43.44,1375800
4-Oct-02,44.83,45.25,43.95,44.06,1102200
3-Oct-02,44.24,45.00,44.18,44.59,1295300
2-Oct-02,44.97,45.27,42.73,43.69,1599100
1-Oct-02,44.00,45.16,43.93,44.98,1167000
30-Sep-02,43.52,44.07,43.10,43.88,1300100
27-Sep-02,44.46,44.46,43.57,43.67,1138300
26-Sep-02,43.47,44.64,43.39,44.63,1574000
25-Sep-02,44.16,44.29,42.73,43.20,2433200
24-Sep-02,42.63,44.12,42.48,43.86,1941200
23-Sep-02,42.83,43.28,42.43,42.62,1073000
20-Sep-02,42.48,43.19,42.36,43.11,1572600
19-Sep-02,42.08,42.85,41.62,42.27,972300
18-Sep-02,41.79,42.61,41.39,42.46,1378500
17-Sep-02,42.43,42.43,41.41,41.69,1017200
