Date,Open,High,Low,Close,Volume
3-Mar-03,78.90,79.00,75.20,75.35,7976242
3-Feb-03,78.05,80.05,74.31,77.95,8013573
2-Jan-03,78.65,88.78,76.87,78.05,9698933
2-Dec-02,88.43,89.29,75.45,77.35,7592138
1-Nov-02,78.60,87.94,76.55,86.75,9370940
1-Oct-02,58.98,79.49,53.81,78.64,12847417
3-Sep-02,73.92,77.21,57.77,58.09,9934225
1-Aug-02,69.98,82.54,65.46,75.10,7787490
1-Jul-02,71.58,73.76,65.31,69.98,11771613
3-Jun-02,80.27,80.47,65.71,71.57,10096315
1-May-02,83.35,85.97,75.47,79.97,8084754
1-Apr-02,103.38,103.38,82.84,83.26,11608509
1-Mar-02,98.01,108.20,97.91,103.38,7830800
1-Feb-02,107.00,108.65,95.19,97.53,9487368
2-Jan-02,119.88,125.63,100.40,107.25,9687614
3-Dec-01,114.11,123.95,112.53,120.24,6845325
1-Nov-01,106.61,116.30,106.26,114.90,6701623
1-Oct-01,91.17,111.43,90.79,107.42,10066486
4-Sep-01,99.55,102.51,86.97,91.17,13359313
1-Aug-01,104.72,109.43,98.27,99.35,6588178
2-Jul-01,112.82,114.71,100.95,104.58,7934257
1-Jun-01,111.83,118.29,110.44,112.82,7257480
1-May-01,115.16,119.18,110.30,111.13,7549104
2-Apr-01,96.87,117.34,89.51,114.45,11678405
1-Mar-01,98.71,107.75,87.13,95.60,12000513
1-Feb-01,111.73,117.93,98.51,99.30,8861689
2-Jan-01,83.99,116.05,83.25,111.33,9872776
1-Dec-00,93.87,104.12,79.58,84.49,8739385
1-Nov-00,97.85,103.75,91.07,92.94,6720342
2-Oct-00,111.95,118.90,86.42,97.91,10658263
1-Sep-00,132.26,134.13,109.59,111.95,5855495
1-Aug-00,111.33,133.45,109.59,131.23,5545682
3-Jul-00,108.10,117.11,99.40,111.58,7764845
1-Jun-00,106.92,121.58,104.87,108.90,6586172
1-May-00,111.83,112.94,101.39,106.67,5800554
3-Apr-00,119.28,127.23,100.64,110.83,9127221
1-Mar-00,101.39,127.48,98.90,117.66,8800373
1-Feb-00,111.70,119.03,100.34,102.14,7203815
