Date,Open,High,Low,Close,Volume
5-Mar-03,16.66,17.09,16.60,16.98,49337000
4-Mar-03,16.69,16.91,16.48,16.62,50779600
3-Mar-03,17.13,17.31,16.58,16.66,58274100
28-Feb-03,16.98,17.29,16.81,17.25,65249200
27-Feb-03,16.38,16.77,16.30,16.70,50289500
26-Feb-03,16.52,16.85,16.11,16.24,53413000
25-Feb-03,16.29,16.79,16.00,16.73,58507600
24-Feb-03,16.68,17.10,16.52,16.54,49143300
21-Feb-03,17.04,17.05,16.42,16.79,61341900
20-Feb-03,17.08,17.10,16.82,16.96,52122900
19-Feb-03,16.99,17.06,16.50,16.78,51793600
18-Feb-03,16.41,16.75,16.18,16.73,50500400
14-Feb-03,15.68,16.20,15.53,16.15,54749800
13-Feb-03,15.33,15.60,15.10,15.53,54625400
12-Feb-03,15.28,15.42,15.11,15.15,38401800
11-Feb-03,15.39,15.53,15.06,15.34,47251200
10-Feb-03,15.07,15.45,14.88,15.27,52977000
7-Feb-03,15.53,15.63,14.89,15.05,49537900
6-Feb-03,15.49,15.71,15.26,15.41,47355000
5-Feb-03,15.77,16.15,15.50,15.58,50881700
4-Feb-03,15.55,15.76,15.31,15.62,41066900
3-Feb-03,15.63,15.96,15.48,15.76,43773800
31-Jan-03,15.37,15.83,15.12,15.64,65637900
30-Jan-03,16.61,16.68,15.74,15.76,55537500
29-Jan-03,15.92,16.67,15.68,16.64,63040400
28-Jan-03,16.08,16.26,15.78,16.01,58387000
27-Jan-03,15.47,16.11,15.46,15.86,56559500
24-Jan-03,16.42,16.47,15.73,15.83,60831600
23-Jan-03,16.51,16.76,16.17,16.65,51948900
22-Jan-03,16.19,16.67,16.13,16.23,60169100
21-Jan-03,16.25,16.57,16.21,16.27,57401500
17-Jan-03,16.87,16.93,16.26,16.32,67963800
16-Jan-03,17.43,17.51,17.09,17.18,54420100
15-Jan-03,17.92,17.99,17.32,17.33,99754800
14-Jan-03,17.54,17.82,17.32,17.77,80562500
13-Jan-03,17.83,17.96,17.21,17.36,66865000
10-Jan-03,17.02,17.48,16.84,17.40,54995200
9-Jan-03,16.86,17.36,16.84,17.04,58692700
8-Jan-03,17.15,17.28,16.57,16.66,55719700
7-Jan-03,17.49,17.63,16.98,17.34,63853500
6-Jan-03,16.68,17.44,16.58,17.16,57114300
3-Jan-03,16.65,16.83,16.32,16.52,50271500
2-Jan-03,16.00,16.71,15.64,16.67,57135100
31-Dec-02,15.69,15.80,15.40,15.55,49986600
30-Dec-02,16.42,16.53,15.72,15.74,56796600
27-Dec-02,16.56,16.82,16.27,16.38,31252300
26-Dec-02,16.87,17.22,16.61,16.67,29989200
24-Dec-02,17.00,17.13,16.76,16.76,21515900
23-Dec-02,16.84,17.38,16.81,17.19,35447500
20-Dec-02,17.14,17.39,16.93,16.99,69088400
19-Dec-02,16.96,17.46,16.63,16.98,59466800
18-Dec-02,17.52,17.58,17.00,17.11,54053300
17-Dec-02,18.17,18.29,17.73,17.87,52191400
16-Dec-02,17.67,18.22,17.58,18.20,51245600
13-Dec-02,17.83,17.98,17.54,17.56,53468200
12-Dec-02,18.39,18.56,17.93,18.17,54295800
11-Dec-02,17.92,18.39,17.74,18.14,55585900
10-Dec-02,17.81,18.48,17.70,18.11,58576400
9-Dec-02,18.43,18.48,17.62,17.66,71922900
6-Dec-02,18.59,19.00,18.36,18.69,71640400
5-Dec-02,20.04,20.12,18.86,18.94,87944700
4-Dec-02,19.38,20.02,19.28,19.64,75039800
3-Dec-02,20.87,20.88,20.12,20.28,53659700
2-Dec-02,21.85,22.06,20.74,21.02,83017000
29-Nov-02,21.16,21.27,20.57,20.85,20667400
27-Nov-02,20.54,21.07,20.37,20.87,50910900
26-Nov-02,20.48,20.67,19.97,20.17,70854100
25-Nov-02,20.02,20.53,19.87,20.45,53680200
22-Nov-02,19.78,20.36,19.58,20.02,59559700
21-Nov-02,19.38,20.34,19.33,20.18,90938900
20-Nov-02,18.22,19.15,18.06,19.13,64934300
19-Nov-02,18.29,18.56,17.99,18.13,51321400
18-Nov-02,19.06,19.16,18.46,18.53,52772600
15-Nov-02,18.46,18.90,18.08,18.78,73472600
14-Nov-02,18.85,19.27,18.58,19.19,64924500
13-Nov-02,17.60,18.21,17.51,18.10,65938300
12-Nov-02,17.50,18.29,17.48,17.77,54639500
11-Nov-02,17.94,18.14,17.25,17.32,40879200
8-Nov-02,18.35,18.86,18.03,18.13,49747500
7-Nov-02,18.66,19.06,18.18,18.42,66486000
6-Nov-02,18.47,19.21,18.22,19.13,81286600
5-Nov-02,18.34,18.75,17.69,18.33,71532500
4-Nov-02,18.83,19.18,18.39,18.73,80962600
1-Nov-02,17.06,18.44,16.87,18.26,85017800
31-Oct-02,17.07,17.47,16.78,17.26,77160500
30-Oct-02,16.54,17.34,16.35,16.95,80766700
29-Oct-02,16.66,16.89,16.01,16.36,79050400
28-Oct-02,17.09,17.24,16.50,16.77,85986500
