Date,Open,High,Low,Close,Volume
5-Mar-03,123.85,125.12,123.17,125.10,2345700
4-Mar-03,124.85,125.06,123.20,123.70,2143100
3-Mar-03,125.85,127.00,124.76,124.76,1575200
28-Feb-03,126.41,127.05,124.25,125.37,2381800
27-Feb-03,125.60,126.68,124.84,126.18,2183700
26-Feb-03,125.70,126.00,124.56,124.80,1935000
25-Feb-03,125.03,125.70,123.07,125.70,2996800
24-Feb-03,126.86,126.86,124.83,125.02,1972500
21-Feb-03,125.50,126.85,124.65,126.85,2647600
20-Feb-03,126.00,126.09,124.50,124.85,1775600
19-Feb-03,126.62,126.74,124.81,125.87,1717200
18-Feb-03,124.48,126.82,124.48,125.95,2625900
14-Feb-03,122.55,124.47,121.69,124.44,3112000
13-Feb-03,121.86,122.53,119.62,121.77,2566000
12-Feb-03,122.81,123.40,121.60,121.61,1877000
11-Feb-03,123.84,124.31,122.36,122.44,1831500
10-Feb-03,121.84,123.33,121.04,123.03,1849300
7-Feb-03,122.86,123.29,121.43,121.84,1799300
6-Feb-03,122.74,123.20,121.75,122.38,1906500
5-Feb-03,123.33,124.46,122.36,122.50,2121400
4-Feb-03,123.65,123.85,121.81,122.46,2645700
3-Feb-03,124.96,125.33,123.88,124.34,2548000
31-Jan-03,123.01,125.76,122.97,123.90,2930900
30-Jan-03,125.69,126.23,123.26,123.26,2511900
29-Jan-03,124.67,126.44,122.72,125.94,2368000
28-Jan-03,124.60,125.39,124.20,125.17,1824100
27-Jan-03,125.24,126.52,124.41,124.43,2451700
24-Jan-03,127.58,127.91,125.59,125.69,2390000
23-Jan-03,126.83,128.47,126.44,128.30,2637600
22-Jan-03,125.00,127.45,125.00,126.83,3110400
21-Jan-03,126.24,126.57,124.61,124.99,2220700
17-Jan-03,124.94,125.80,124.53,125.66,2026300
16-Jan-03,126.99,127.30,125.56,125.99,1565800
15-Jan-03,127.32,127.63,125.66,126.36,1643100
14-Jan-03,126.04,127.58,125.69,127.31,2034100
13-Jan-03,125.94,127.31,124.86,125.88,1586400
10-Jan-03,125.74,126.72,125.19,125.96,1992000
9-Jan-03,125.34,127.13,124.90,127.02,1902000
8-Jan-03,126.14,126.14,124.51,125.04,2302800
7-Jan-03,125.64,127.18,125.64,126.41,2160300
6-Jan-03,125.04,126.73,124.87,126.53,1912300
3-Jan-03,125.59,126.08,125.07,125.61,1377200
2-Jan-03,122.68,126.09,122.41,126.09,2179100
31-Dec-02,122.56,122.73,120.92,122.66,1552100
30-Dec-02,120.72,122.83,120.39,122.31,1516600
27-Dec-02,122.60,122.79,120.62,120.71,1161100
26-Dec-02,122.80,124.53,122.02,122.59,1031000
24-Dec-02,122.56,123.45,122.51,122.79,510900
23-Dec-02,123.25,123.60,122.36,122.92,1212500
20-Dec-02,120.56,123.75,120.47,123.48,3486500
19-Dec-02,119.98,121.66,119.67,119.67,2816200
18-Dec-02,120.12,120.77,119.36,120.23,2220000
17-Dec-02,122.81,122.94,120.74,120.87,2088900
16-Dec-02,121.28,123.03,121.28,123.00,2444900
13-Dec-02,122.63,122.64,120.89,121.14,1745400
12-Dec-02,124.65,124.65,122.88,123.00,1567100
11-Dec-02,124.45,125.07,123.35,124.06,1590100
10-Dec-02,123.70,124.65,122.73,124.45,1857700
9-Dec-02,125.45,125.49,123.37,123.40,1638900
6-Dec-02,124.30,125.92,123.90,125.44,1592100
5-Dec-02,127.51,127.93,124.90,125.24,1885700
4-Dec-02,127.35,128.25,126.44,127.33,1761300
3-Dec-02,126.93,128.41,126.89,127.53,1558500
2-Dec-02,129.62,129.80,126.19,127.68,2269200
29-Nov-02,128.82,129.41,128.23,129.17,794000
27-Nov-02,126.23,129.07,125.55,128.95,2063500
26-Nov-02,126.09,127.23,124.75,124.75,2665400
