Date,Open,High,Low,Close,Volume
5-Mar-03,50.95,52.12,50.89,51.87,6792800
4-Mar-03,52.08,52.08,51.25,51.25,4993500
3-Mar-03,52.98,53.35,51.76,52.12,4556400
28-Feb-03,52.43,52.66,52.02,52.38,5611800
27-Feb-03,51.74,53.02,51.74,52.43,4780900
26-Feb-03,52.38,52.96,51.47,51.74,4587400
25-Feb-03,51.64,52.67,51.24,52.38,5163700
24-Feb-03,53.01,53.13,51.64,52.09,5609000
21-Feb-03,52.78,54.02,52.53,53.43,5014200
20-Feb-03,53.92,54.19,52.79,53.01,4043500
19-Feb-03,54.53,54.69,53.44,53.98,3882900
18-Feb-03,54.45,55.06,54.07,54.52,4601200
14-Feb-03,52.23,53.61,52.23,53.53,5767200
13-Feb-03,52.55,52.68,51.24,52.23,4493900
12-Feb-03,53.72,53.74,52.77,52.98,4451100
11-Feb-03,54.47,54.81,53.48,53.63,4471300
10-Feb-03,53.21,54.20,52.73,54.02,5691600
7-Feb-03,54.03,54.12,52.43,53.19,5152800
6-Feb-03,53.77,54.73,53.47,54.03,5670000
5-Feb-03,55.06,55.52,54.03,54.28,5239100
4-Feb-03,54.72,54.81,54.12,54.47,5708400
3-Feb-03,55.01,55.92,54.87,55.47,5277700
31-Jan-03,53.99,55.32,53.79,55.00,5633700
30-Jan-03,55.41,55.54,53.66,54.13,5980000
29-Jan-03,53.77,55.46,53.62,55.00,6650100
28-Jan-03,52.61,54.71,52.41,54.02,9935700
27-Jan-03,52.93,53.22,51.14,51.40,8435500
24-Jan-03,54.96,55.06,53.03,53.18,7055800
23-Jan-03,55.24,55.70,54.47,54.96,5900200
22-Jan-03,56.33,56.40,55.21,55.23,7587100
21-Jan-03,57.36,57.44,56.16,56.32,7706000
17-Jan-03,57.84,58.51,57.31,57.93,5925300
16-Jan-03,58.88,59.32,58.09,58.44,5283900
15-Jan-03,59.39,59.52,58.66,58.88,3830200
14-Jan-03,59.13,59.48,58.73,59.39,3777800
13-Jan-03,59.58,59.82,58.97,59.38,4252800
10-Jan-03,59.36,59.56,58.70,59.39,4870400
