Date,Open,High,Low,Close,Volume
5-Mar-03,46.91,47.88,46.80,47.88,7945100
4-Mar-03,48.00,48.00,46.90,46.90,6468100
3-Mar-03,48.60,48.68,47.77,47.79,6663400
28-Feb-03,48.30,48.75,47.72,48.06,7850500
27-Feb-03,48.05,48.50,47.65,48.16,7377800
26-Feb-03,48.43,48.56,47.80,47.83,6941600
25-Feb-03,47.28,48.51,46.76,48.43,10072500
24-Feb-03,48.70,48.94,47.64,47.64,6894800
21-Feb-03,48.45,49.13,47.90,48.90,7836800
20-Feb-03,48.77,48.88,47.97,48.08,6124100
19-Feb-03,49.07,49.32,48.31,48.77,5523200
18-Feb-03,49.65,49.79,48.77,49.08,9132900
14-Feb-03,47.64,49.16,47.32,49.15,8735900
13-Feb-03,47.65,47.95,47.16,47.64,8022300
12-Feb-03,47.42,48.11,47.34,47.85,7739000
11-Feb-03,47.15,47.62,47.02,47.25,7643300
10-Feb-03,46.80,47.10,46.25,47.02,7758300
7-Feb-03,47.50,47.60,46.75,46.79,8193100
6-Feb-03,48.50,48.50,46.44,46.79,8363600
5-Feb-03,47.60,47.77,46.65,46.74,7409600
4-Feb-03,48.08,49.21,47.00,47.15,8018400
3-Feb-03,47.77,48.49,47.71,48.07,7407600
31-Jan-03,47.20,48.45,47.15,47.80,8744500
30-Jan-03,48.11,49.09,47.50,47.57,8250400
29-Jan-03,48.18,48.53,47.34,48.10,8967300
28-Jan-03,47.10,48.30,47.10,48.18,9656900
27-Jan-03,47.05,48.31,46.92,47.10,11255800
24-Jan-03,48.40,48.69,47.19,47.30,8425500
23-Jan-03,48.07,48.76,47.34,48.57,10896500
22-Jan-03,49.02,49.59,47.75,48.07,11097600
21-Jan-03,50.07,50.29,48.98,49.01,7827400
17-Jan-03,50.30,50.43,49.70,49.97,8661200
16-Jan-03,51.10,51.23,49.98,50.30,8086900
15-Jan-03,51.45,51.68,50.53,50.59,6503500
14-Jan-03,51.00,51.54,50.70,51.41,6759600
13-Jan-03,51.62,52.18,51.00,51.28,6920800
10-Jan-03,51.92,52.00,51.21,51.62,7426600
9-Jan-03,50.75,52.00,50.75,51.92,9884800
8-Jan-03,50.40,51.36,49.86,49.99,7796900
7-Jan-03,50.32,50.76,50.10,50.46,6669000
6-Jan-03,50.20,50.55,49.67,50.19,7438400
3-Jan-03,51.61,51.61,49.85,50.00,8389300
2-Jan-03,50.65,51.61,50.52,51.60,7545500
31-Dec-02,50.60,50.62,49.75,50.51,7826300
30-Dec-02,49.16,50.75,49.15,50.64,7886000
27-Dec-02,49.53,49.98,48.95,49.16,5689600
26-Dec-02,49.25,50.65,49.25,49.76,7309300
24-Dec-02,49.30,49.87,49.24,49.70,4215600
23-Dec-02,50.53,50.54,49.40,49.59,8539400
20-Dec-02,50.17,51.25,50.17,50.79,13003400
19-Dec-02,50.13,51.20,50.00,50.16,7750800
18-Dec-02,50.95,50.95,49.95,50.38,7738600
17-Dec-02,51.85,51.86,50.85,50.94,7243200
16-Dec-02,50.55,52.07,50.36,51.94,9138400
13-Dec-02,51.38,51.38,50.36,50.54,10007300
12-Dec-02,52.25,52.42,51.26,51.38,8668300
11-Dec-02,51.80,52.49,51.63,52.00,5828200
10-Dec-02,51.86,52.59,51.55,52.49,6413000
9-Dec-02,53.04,53.04,51.81,51.85,8087800
6-Dec-02,52.75,53.49,52.03,53.04,8940400
5-Dec-02,54.44,54.44,53.02,53.02,8258000
4-Dec-02,53.90,55.13,53.41,54.44,8449800
3-Dec-02,54.38,54.38,53.55,53.93,7852000
2-Dec-02,55.96,56.74,54.25,54.38,13776600
29-Nov-02,54.74,55.16,53.83,53.90,4420200
27-Nov-02,53.25,55.01,53.25,54.84,8288000
26-Nov-02,53.40,53.90,53.07,53.24,7896900
25-Nov-02,53.45,54.10,53.02,53.82,9359900
22-Nov-02,53.96,54.79,53.52,53.76,8124400
21-Nov-02,54.40,54.80,53.81,53.95,8441400
20-Nov-02,53.05,54.50,53.00,54.40,7463400
19-Nov-02,53.69,53.69,52.57,52.92,10348300
18-Nov-02,55.25,55.50,53.53,53.68,9040200
15-Nov-02,55.57,56.20,55.00,55.49,11539300
14-Nov-02,55.05,55.60,54.54,55.57,10737900
13-Nov-02,53.86,54.98,53.25,54.98,11655000
12-Nov-02,53.60,54.75,53.33,53.85,9371300
11-Nov-02,54.04,54.04,53.00,53.00,5925200
8-Nov-02,54.00,54.80,53.52,54.03,7453000
7-Nov-02,54.35,54.89,53.55,54.00,7455600
6-Nov-02,54.42,54.80,53.50,54.34,8477500
5-Nov-02,53.46,54.60,53.25,54.42,7564600
4-Nov-02,54.56,54.77,53.20,53.45,10382900
1-Nov-02,53.59,54.79,52.68,54.55,8762800
31-Oct-02,53.55,54.41,52.65,53.55,11507000
30-Oct-02,55.09,55.10,53.58,53.80,16972100
29-Oct-02,55.00,57.00,54.68,56.47,10419800
28-Oct-02,57.43,57.49,55.68,56.07,7867600
25-Oct-02,56.48,57.49,56.16,57.33,7125200
24-Oct-02,57.24,58.02,56.18,56.47,9814300
23-Oct-02,56.10,57.32,55.92,57.23,10213800
22-Oct-02,56.41,56.41,54.80,56.10,10305500
21-Oct-02,56.29,56.73,55.18,56.40,9546000
18-Oct-02,55.00,56.50,54.80,56.28,11334200
17-Oct-02,57.45,57.50,55.00,55.33,14925800
16-Oct-02,56.29,56.80,55.85,56.76,12927800
15-Oct-02,55.44,56.29,55.13,56.29,13852700
14-Oct-02,53.83,55.00,53.57,54.15,10187600
11-Oct-02,51.65,53.98,51.65,53.83,11479700
10-Oct-02,50.75,52.19,49.00,51.64,16921600
9-Oct-02,52.61,52.61,50.70,50.74,13308400
8-Oct-02,50.95,53.45,50.76,52.60,16556200
7-Oct-02,51.20,52.54,50.00,50.35,14430800
4-Oct-02,51.11,52.28,49.75,51.75,14745100
3-Oct-02,51.33,52.14,50.20,51.10,11297300
2-Oct-02,51.71,52.51,50.68,51.32,11489800
1-Oct-02,49.24,51.78,48.55,51.71,14143700
30-Sep-02,51.25,51.25,48.10,49.24,17002700
27-Sep-02,53.25,53.70,51.22,51.24,11146500
26-Sep-02,52.50,53.72,52.08,53.71,8175900
25-Sep-02,52.30,52.61,51.14,52.04,9919800
24-Sep-02,51.90,52.40,50.87,51.49,11366700
23-Sep-02,53.70,53.71,52.07,52.60,10312600
20-Sep-02,53.71,54.90,53.56,54.70,17149400
19-Sep-02,54.39,54.91,53.55,53.70,7162900
18-Sep-02,53.65,55.13,53.62,54.38,8193800
17-Sep-02,55.90,55.92,54.25,54.26,8168200
16-Sep-02,54.50,55.25,54.00,54.75,5999800
13-Sep-02,53.12,54.97,52.65,54.40,8355200
12-Sep-02,54.20,54.21,52.97,53.12,6608400
11-Sep-02,55.40,57.00,53.81,54.20,7359200
10-Sep-02,53.65,54.81,53.28,54.78,8848000
9-Sep-02,52.65,53.70,52.25,53.28,6632600
6-Sep-02,51.60,53.05,51.60,52.78,7414300
5-Sep-02,51.00,51.39,50.02,50.94,11572700
4-Sep-02,51.87,52.72,51.00,52.34,8623000
3-Sep-02,52.85,53.15,51.49,51.87,9274400
30-Aug-02,53.20,54.00,53.00,53.48,6593400
29-Aug-02,52.66,53.70,52.52,53.20,8449000
28-Aug-02,52.80,53.52,52.76,53.40,7558000
27-Aug-02,53.40,53.40,52.05,53.12,8518500
26-Aug-02,53.10,53.64,52.11,53.40,8040400
23-Aug-02,53.70,53.90,52.87,53.19,6591800
22-Aug-02,54.00,54.42,53.35,54.25,7542200
21-Aug-02,54.00,54.30,52.75,54.09,8920700
20-Aug-02,54.10,54.55,53.10,53.78,8399700
19-Aug-02,53.00,54.79,52.72,54.69,11050000
16-Aug-02,54.25,54.76,53.61,53.79,9243000
15-Aug-02,53.05,54.79,53.01,54.71,13956200
14-Aug-02,49.35,52.90,49.15,52.62,14957100
13-Aug-02,48.41,50.65,47.45,48.71,14450100
12-Aug-02,48.20,48.93,47.65,48.41,7239900
9-Aug-02,48.65,49.58,48.13,49.20,9991900
8-Aug-02,48.55,49.35,46.50,49.19,13516600
7-Aug-02,48.50,48.50,46.90,48.38,9682900
6-Aug-02,47.90,48.50,46.40,47.28,10310300
5-Aug-02,46.10,46.92,45.55,45.60,8422000
2-Aug-02,47.20,47.40,45.19,46.10,9885400
1-Aug-02,49.00,49.17,46.82,47.40,12829500
31-Jul-02,49.30,49.30,47.35,49.18,12722700
30-Jul-02,49.02,49.70,48.50,49.12,10102200
29-Jul-02,48.19,49.65,47.60,49.53,10985500
26-Jul-02,47.00,48.25,46.00,48.18,9082900
25-Jul-02,47.70,48.07,45.00,47.00,14451900
24-Jul-02,44.30,48.12,43.72,47.94,18988100
23-Jul-02,45.00,46.90,44.75,45.10,15287400
22-Jul-02,46.25,47.21,43.99,44.60,16834200
19-Jul-02,47.20,47.70,45.61,46.50,13179300
18-Jul-02,48.40,49.54,47.40,47.41,12019700
17-Jul-02,51.00,51.49,47.50,48.25,18751100
16-Jul-02,52.25,52.57,49.88,49.88,14497700
15-Jul-02,52.40,53.48,50.10,53.44,12703700
12-Jul-02,53.93,54.10,52.59,52.85,8919300
11-Jul-02,53.77,54.99,53.00,54.18,12871600
10-Jul-02,54.75,55.60,53.55,53.76,8964200
9-Jul-02,55.66,56.07,54.48,54.65,8035500
8-Jul-02,56.15,56.70,55.18,55.60,7639800
5-Jul-02,55.45,56.01,55.23,56.00,3217700
3-Jul-02,53.30,55.10,53.30,55.04,7243200
